Date,Sales
2024-06-06,478
2024-06-07,289
2024-06-08,125
2024-06-09,491
2024-06-10,231
2024-06-11,391
2024-06-12,498
2024-06-13,447
2024-06-14,365
2024-06-15,255
2024-06-16,424
2024-06-17,205
2024-06-18,220
2024-06-19,306
2024-06-20,291
2024-06-21,199
2024-06-22,344
2024-06-23,406
2024-06-24,336
2024-06-25,430
2024-06-26,385
2024-06-27,124
2024-06-28,293
2024-06-29,319
2024-06-30,249
2024-07-01,477
2024-07-02,308
2024-07-03,362
2024-07-04,316
2024-07-05,362
2024-07-06,324
2024-07-07,238
2024-07-08,186
2024-07-09,90
2024-07-10,376
2024-07-11,236
2024-07-12,489
2024-07-13,67
2024-07-14,153
2024-07-15,114
2024-07-16,183
2024-07-17,255
2024-07-18,282
2024-07-19,296
2024-07-20,248
2024-07-21,359
2024-07-22,227
2024-07-23,465
2024-07-24,287
2024-07-25,130
2024-07-26,201
2024-07-27,490
2024-07-28,112
2024-07-29,266
2024-07-30,86
2024-07-31,62
2024-08-01,436
2024-08-02,275
2024-08-03,235
2024-08-04,104
2024-08-05,54
2024-08-06,266
2024-08-07,263
2024-08-08,113
2024-08-09,192
2024-08-10,127
2024-08-11,177
2024-08-12,191
2024-08-13,363
2024-08-14,66
2024-08-15,89
2024-08-16,198
2024-08-17,364
2024-08-18,413
2024-08-19,252
2024-08-20,274
2024-08-21,462
2024-08-22,477
2024-08-23,245
2024-08-24,188
2024-08-25,276
2024-08-26,348
2024-08-27,294
2024-08-28,391
2024-08-29,440
2024-08-30,304
2024-08-31,103
2024-09-01,381
2024-09-02,329
2024-09-03,384
2024-09-04,98
2024-09-05,482
2024-09-06,280
2024-09-07,213
2024-09-08,416
2024-09-09,225
2024-09-10,283
2024-09-11,178
2024-09-12,253
2024-09-13,149
2024-09-14,371
2024-09-15,256
2024-09-16,110
2024-09-17,204
2024-09-18,419
2024-09-19,289
2024-09-20,70
2024-09-21,142
2024-09-22,370
2024-09-23,403
2024-09-24,440
2024-09-25,395
2024-09-26,377
2024-09-27,381
2024-09-28,68
2024-09-29,157
2024-09-30,153
2024-10-01,297
2024-10-02,103
2024-10-03,80
2024-10-04,115
2024-10-05,398
2024-10-06,333
2024-10-07,281
2024-10-08,112
2024-10-09,445
2024-10-10,335
2024-10-11,215
2024-10-12,459
2024-10-13,87
2024-10-14,178
2024-10-15,248
2024-10-16,275
2024-10-17,220
2024-10-18,215
2024-10-19,159
2024-10-20,250
2024-10-21,323
2024-10-22,155
2024-10-23,135
2024-10-24,290
2024-10-25,470
2024-10-26,326
2024-10-27,301
2024-10-28,369
2024-10-29,486
2024-10-30,54
2024-10-31,80
2024-11-01,341
2024-11-02,136
2024-11-03,337
2024-11-04,449
2024-11-05,486
2024-11-06,368
2024-11-07,289
2024-11-08,140
2024-11-09,436
2024-11-10,159
2024-11-11,128
2024-11-12,179
2024-11-13,460
2024-11-14,336
2024-11-15,448
2024-11-16,358
2024-11-17,168
2024-11-18,123
2024-11-19,188
2024-11-20,152
2024-11-21,93
2024-11-22,217
2024-11-23,374
2024-11-24,300
2024-11-25,446
2024-11-26,465
2024-11-27,338
2024-11-28,419
2024-11-29,166
2024-11-30,148
2024-12-01,324
2024-12-02,414
2024-12-03,397
2024-12-04,498
2024-12-05,198
2024-12-06,460
2024-12-07,58
2024-12-08,192
2024-12-09,181
2024-12-10,197
2024-12-11,357
2024-12-12,478
2024-12-13,195
2024-12-14,371
2024-12-15,106
2024-12-16,462
2024-12-17,433
2024-12-18,310
2024-12-19,195
2024-12-20,118
2024-12-21,135
2024-12-22,240
2024-12-23,386
2024-12-24,71
2024-12-25,321
2024-12-26,295
2024-12-27,232
2024-12-28,191
2024-12-29,447
2024-12-30,340
2024-12-31,411
